path,classification,planned_action,reason,starting_commit
docs/reports/phase2c_graph_semantics_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase2d_neural_foundation_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase2e_behavior_cloning_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase3_ppo_validation_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase4_capacity_study_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase5a_stable_ppo_validation_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase5b_hierarchical_policy_validation_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase5c_controlled_benchmark_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase5c_dcga_adaptation_protocol.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6a_alns_implementation_audit.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6a_alns_search_diagnosis_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6a_bottleneck_attribution_definition.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6a_search_dataset_schema.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6b_counterfactual_data_pilot_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6b_counterfactual_dataset_schema.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6b_counterfactual_interface_audit.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6c_ni_dataset_contract.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6c_scaled_counterfactual_dataset_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6d_csg_formal_definition.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6d_csg_validation_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6e_supervised_ni_validation_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6f_utility_aware_model_revision_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6g_live_csgni_integration_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6g_project_handoff.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6h_live_calibration_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6h_preregistered_protocol.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6h_project_handoff.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6i_mr_live_utility_revision_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6i_mr_preregistered_protocol.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/phase6i_mr_project_handoff.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/tiny03_native_exact_validation_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/workstation_bootstrap_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
docs/reports/workstation_environment_report.md,KEEP_TRACKED_PROVENANCE,retain,The report records a frozen phase decision or scientific evidence boundary.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
generate_automotive_semantic.py,KEEP_TRACKED_ACTIVE,retain,Active project or compact derived artifact; no safe replacement was proven.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
generate_fjsp_reconfigurable.py,KEEP_TRACKED_ACTIVE,retain,Active project or compact derived artifact; no safe replacement was proven.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
implementation_validation_report.md,ARCHIVE_POINTER_ONLY,remove_superseded_document,The file identifies docs/reports/phase2_final_validation_report.md as its current replacement.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
notes.txt,ARCHIVE_POINTER_ONLY,remove_superseded_document,The file identifies docs/reports/phase2_final_validation_report.md as its current replacement.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/figures/figure_p1_ablation_effect_by_scale.alignment.json,KEEP_TRACKED_ACTIVE,retain,The current paper export and QA contract explicitly consumes this figure family.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/figures/figure_p1_ablation_effect_by_scale.alignment.svg,KEEP_TRACKED_ACTIVE,retain,The current paper export and QA contract explicitly consumes this figure family.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/figures/figure_p1_ablation_effect_by_scale.collision-audit.json,KEEP_TRACKED_ACTIVE,retain,The current paper export and QA contract explicitly consumes this figure family.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/figures/figure_p1_ablation_effect_by_scale.eps,KEEP_TRACKED_ACTIVE,retain,The current paper export and QA contract explicitly consumes this figure family.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/figures/figure_p1_ablation_effect_by_scale.pdf-text-audit.json,KEEP_TRACKED_ACTIVE,retain,The current paper export and QA contract explicitly consumes this figure family.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/figures/figure_p1_ablation_effect_by_scale.qa.json,KEEP_TRACKED_ACTIVE,retain,The current paper export and QA contract explicitly consumes this figure family.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/figures/figure_p1_ablation_effect_by_scale.svg,KEEP_TRACKED_ACTIVE,retain,The current paper export and QA contract explicitly consumes this figure family.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/figures/figure_p1_ablation_effect_by_scale.tiff,KEEP_TRACKED_ACTIVE,retain,The current paper export and QA contract explicitly consumes this figure family.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/figures/supplementary_p1_mechanism_diagnostics.alignment.json,KEEP_TRACKED_ACTIVE,retain,The current paper export and QA contract explicitly consumes this figure family.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/figures/supplementary_p1_mechanism_diagnostics.alignment.svg,KEEP_TRACKED_ACTIVE,retain,The current paper export and QA contract explicitly consumes this figure family.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/figures/supplementary_p1_mechanism_diagnostics.collision-audit.json,KEEP_TRACKED_ACTIVE,retain,The current paper export and QA contract explicitly consumes this figure family.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/figures/supplementary_p1_mechanism_diagnostics.eps,KEEP_TRACKED_ACTIVE,retain,The current paper export and QA contract explicitly consumes this figure family.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/figures/supplementary_p1_mechanism_diagnostics.pdf-text-audit.json,KEEP_TRACKED_ACTIVE,retain,The current paper export and QA contract explicitly consumes this figure family.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/figures/supplementary_p1_mechanism_diagnostics.qa.json,KEEP_TRACKED_ACTIVE,retain,The current paper export and QA contract explicitly consumes this figure family.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/figures/supplementary_p1_mechanism_diagnostics.svg,KEEP_TRACKED_ACTIVE,retain,The current paper export and QA contract explicitly consumes this figure family.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/figures/supplementary_p1_mechanism_diagnostics.tiff,KEEP_TRACKED_ACTIVE,retain,The current paper export and QA contract explicitly consumes this figure family.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530101.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530102.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530103.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530104.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530105.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R02/seed_530101.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R02/seed_530102.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R02/seed_530103.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R02/seed_530104.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R02/seed_530105.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R01/seed_530101.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R01/seed_530102.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R01/seed_530103.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R01/seed_530104.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R01/seed_530105.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R02/seed_530101.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R02/seed_530102.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R02/seed_530103.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R02/seed_530104.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R02/seed_530105.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R01/seed_530101.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R01/seed_530102.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R01/seed_530103.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R01/seed_530104.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R01/seed_530105.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R02/seed_530101.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R02/seed_530102.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R02/seed_530103.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R02/seed_530104.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R02/seed_530105.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R01/seed_530101.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R01/seed_530102.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R01/seed_530103.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R01/seed_530104.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R01/seed_530105.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R02/seed_530101.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R02/seed_530102.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R02/seed_530103.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R02/seed_530104.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF1_R02/seed_530105.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF2_R01/seed_530101.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF2_R01/seed_530102.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF2_R01/seed_530103.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF2_R01/seed_530104.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF2_R01/seed_530105.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF2_R02/seed_530101.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF2_R02/seed_530102.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF2_R02/seed_530103.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF2_R02/seed_530104.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF2_R02/seed_530105.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF3_R01/seed_530101.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF3_R01/seed_530102.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_M_CF3_R01/seed_530103.json,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,The retained Phase 6H Core45 source has the same SHA256.,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c
