dataset_origin,dataset_role,scale,CF_level,search_stage,condition,state_id
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,80-100%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI3_TI2_R03:seed817000007:iteration2800
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,80-100%,high_action_entropy,CB1_TRAIN_L_CF1_RI3_TI2_R03:seed817000007:iteration2800
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI3_TI3_R01:seed817000008:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,bottleneck_or_critical_transition,CB1_TRAIN_L_CF1_RI3_TI3_R01:seed817000008:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,0-20%,high_action_entropy,CB1_TRAIN_L_CF1_RI3_TI3_R01:seed817000008:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI3_TI3_R01:seed817000008:iteration980
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,20-40%,high_action_entropy,CB1_TRAIN_L_CF1_RI3_TI3_R01:seed817000008:iteration980
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI3_TI3_R01:seed817000008:iteration1640
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,bottleneck_or_critical_transition,CB1_TRAIN_L_CF1_RI3_TI3_R01:seed817000008:iteration1640
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,40-60%,low_action_entropy,CB1_TRAIN_L_CF1_RI3_TI3_R01:seed817000008:iteration1640
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,60-80%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI3_TI3_R01:seed817000008:iteration2300
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,60-80%,high_action_entropy,CB1_TRAIN_L_CF1_RI3_TI3_R01:seed817000008:iteration2300
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,80-100%,plateau_or_stagnating,CB1_TRAIN_L_CF1_RI3_TI3_R01:seed817000008:iteration2940
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF1,80-100%,low_action_entropy,CB1_TRAIN_L_CF1_RI3_TI3_R01:seed817000008:iteration2940
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,0-20%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI1_TI1_R01:seed817000009:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,0-20%,bottleneck_or_critical_transition,CB1_TRAIN_L_CF2_RI1_TI1_R01:seed817000009:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,0-20%,low_action_entropy,CB1_TRAIN_L_CF2_RI1_TI1_R01:seed817000009:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,20-40%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI1_TI1_R01:seed817000009:iteration1020
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,20-40%,high_action_entropy,CB1_TRAIN_L_CF2_RI1_TI1_R01:seed817000009:iteration1020
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,40-60%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI1_TI1_R01:seed817000009:iteration1660
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,40-60%,low_action_entropy,CB1_TRAIN_L_CF2_RI1_TI1_R01:seed817000009:iteration1660
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,60-80%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI1_TI1_R01:seed817000009:iteration2320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,60-80%,high_action_entropy,CB1_TRAIN_L_CF2_RI1_TI1_R01:seed817000009:iteration2320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,80-100%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI1_TI1_R01:seed817000009:iteration2960
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,80-100%,high_action_entropy,CB1_TRAIN_L_CF2_RI1_TI1_R01:seed817000009:iteration2960
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,0-20%,improving,CB1_TRAIN_L_CF2_RI1_TI2_R02:seed817000010:iteration320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,0-20%,immediately_post_improvement,CB1_TRAIN_L_CF2_RI1_TI2_R02:seed817000010:iteration320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,0-20%,bottleneck_or_critical_transition,CB1_TRAIN_L_CF2_RI1_TI2_R02:seed817000010:iteration320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,0-20%,high_action_entropy,CB1_TRAIN_L_CF2_RI1_TI2_R02:seed817000010:iteration320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,20-40%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI1_TI2_R02:seed817000010:iteration960
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,20-40%,bottleneck_or_critical_transition,CB1_TRAIN_L_CF2_RI1_TI2_R02:seed817000010:iteration960
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,20-40%,low_action_entropy,CB1_TRAIN_L_CF2_RI1_TI2_R02:seed817000010:iteration960
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,40-60%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI1_TI2_R02:seed817000010:iteration1580
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,40-60%,high_action_entropy,CB1_TRAIN_L_CF2_RI1_TI2_R02:seed817000010:iteration1580
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,60-80%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI1_TI2_R02:seed817000010:iteration2200
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,60-80%,low_action_entropy,CB1_TRAIN_L_CF2_RI1_TI2_R02:seed817000010:iteration2200
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,80-100%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI1_TI2_R02:seed817000010:iteration2820
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,80-100%,high_action_entropy,CB1_TRAIN_L_CF2_RI1_TI2_R02:seed817000010:iteration2820
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,0-20%,improving,CB1_TRAIN_L_CF2_RI1_TI3_R03:seed817000011:iteration300
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,0-20%,bottleneck_or_critical_transition,CB1_TRAIN_L_CF2_RI1_TI3_R03:seed817000011:iteration300
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,0-20%,high_action_entropy,CB1_TRAIN_L_CF2_RI1_TI3_R03:seed817000011:iteration300
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,20-40%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI1_TI3_R03:seed817000011:iteration900
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,20-40%,high_action_entropy,CB1_TRAIN_L_CF2_RI1_TI3_R03:seed817000011:iteration900
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,40-60%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI1_TI3_R03:seed817000011:iteration1480
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,40-60%,high_action_entropy,CB1_TRAIN_L_CF2_RI1_TI3_R03:seed817000011:iteration1480
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,60-80%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI1_TI3_R03:seed817000011:iteration2080
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,60-80%,low_action_entropy,CB1_TRAIN_L_CF2_RI1_TI3_R03:seed817000011:iteration2080
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,80-100%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI1_TI3_R03:seed817000011:iteration2680
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,80-100%,low_action_entropy,CB1_TRAIN_L_CF2_RI1_TI3_R03:seed817000011:iteration2680
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,0-20%,improving,CB1_TRAIN_L_CF2_RI2_TI1_R02:seed817000012:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,0-20%,bottleneck_or_critical_transition,CB1_TRAIN_L_CF2_RI2_TI1_R02:seed817000012:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,0-20%,low_action_entropy,CB1_TRAIN_L_CF2_RI2_TI1_R02:seed817000012:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,20-40%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI2_TI1_R02:seed817000012:iteration1000
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,20-40%,high_action_entropy,CB1_TRAIN_L_CF2_RI2_TI1_R02:seed817000012:iteration1000
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,40-60%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI2_TI1_R02:seed817000012:iteration1660
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,40-60%,high_action_entropy,CB1_TRAIN_L_CF2_RI2_TI1_R02:seed817000012:iteration1660
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,60-80%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI2_TI1_R02:seed817000012:iteration2320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,60-80%,high_action_entropy,CB1_TRAIN_L_CF2_RI2_TI1_R02:seed817000012:iteration2320
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,80-100%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI2_TI1_R02:seed817000012:iteration2980
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,80-100%,low_action_entropy,CB1_TRAIN_L_CF2_RI2_TI1_R02:seed817000012:iteration2980
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,0-20%,improving,CB1_TRAIN_L_CF2_RI2_TI2_R03:seed817000013:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,0-20%,bottleneck_or_critical_transition,CB1_TRAIN_L_CF2_RI2_TI2_R03:seed817000013:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,0-20%,high_action_entropy,CB1_TRAIN_L_CF2_RI2_TI2_R03:seed817000013:iteration340
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,20-40%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI2_TI2_R03:seed817000013:iteration980
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,20-40%,high_action_entropy,CB1_TRAIN_L_CF2_RI2_TI2_R03:seed817000013:iteration980
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,40-60%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI2_TI2_R03:seed817000013:iteration1620
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,40-60%,high_action_entropy,CB1_TRAIN_L_CF2_RI2_TI2_R03:seed817000013:iteration1620
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,60-80%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI2_TI2_R03:seed817000013:iteration2260
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,60-80%,low_action_entropy,CB1_TRAIN_L_CF2_RI2_TI2_R03:seed817000013:iteration2260
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,80-100%,plateau_or_stagnating,CB1_TRAIN_L_CF2_RI2_TI2_R03:seed817000013:iteration2880
CLEAN_NON_R12_DEVELOPMENT,TRAIN,L,CF2,80-100%,low_action_entropy,CB1_TRAIN_L_CF2_RI2_TI2_R03:seed817000013:iteration2880
