instance_id,live_revision_split,scale,CF_level,RI_level,TI_level,replicate,base_structure,base_generation_seed,final_generation_seed,relative_path,sha256,size_bytes,cell_replicate
CB1_LIVE_REV_L_CF2_RI2_TI2_R11,LIVE_REV_HOLDOUT,L,CF2,RI2,TI2,R11,CB1_LIVE_REV_BASE_L_CF2_R11,680331,680331001,r11_live_rev_holdout/CB1_LIVE_REV_L_CF2_RI2_TI2_R11.json,10d8d6aa19c45f6c30d317bb405307117265abca01056edc2e5099429ca51529,137704,C01
CB1_LIVE_REV_L_CF2_RI2_TI2_R11_C02,LIVE_REV_HOLDOUT,L,CF2,RI2,TI2,R11,CB1_LIVE_REV_BASE_L_CF2_R11_C02,690331,690331001,r11_live_rev_holdout/CB1_LIVE_REV_L_CF2_RI2_TI2_R11_C02.json,b849b122228dd4d23cd847dfea7e54d281d9cafa17b4a06c04afb1c617e1664d,129852,C02
CB1_LIVE_REV_L_CF3_RI2_TI2_R09,LIVE_REV_FIT,L,CF3,RI2,TI2,R09,CB1_LIVE_REV_BASE_L_CF3_R09,680339,680339001,r09_live_rev_fit/CB1_LIVE_REV_L_CF3_RI2_TI2_R09.json,c58333cff3a4afb7ded95ac6540b537fb173fab7bc7bb3ab53a28c17d18af81a,159354,C01
CB1_LIVE_REV_L_CF3_RI2_TI2_R09_C02,LIVE_REV_FIT,L,CF3,RI2,TI2,R09,CB1_LIVE_REV_BASE_L_CF3_R09_C02,690339,690339001,r09_live_rev_fit/CB1_LIVE_REV_L_CF3_RI2_TI2_R09_C02.json,a80a46a215aee0e419114321a8c333564d5415aadcdaee36facb4319e9d866a6,147780,C02
CB1_LIVE_REV_L_CF3_RI2_TI2_R10,LIVE_REV_SELECT,L,CF3,RI2,TI2,R10,CB1_LIVE_REV_BASE_L_CF3_R10,680340,680340001,r10_live_rev_select/CB1_LIVE_REV_L_CF3_RI2_TI2_R10.json,bfbb313b4fb357d9cdd2c7acd5daf75322315ef56135eae1ebcddfa118877f9c,156051,C01
CB1_LIVE_REV_L_CF3_RI2_TI2_R10_C02,LIVE_REV_SELECT,L,CF3,RI2,TI2,R10,CB1_LIVE_REV_BASE_L_CF3_R10_C02,690340,690340001,r10_live_rev_select/CB1_LIVE_REV_L_CF3_RI2_TI2_R10_C02.json,f9e4a262a15337bae4024455158b29194fe7498c704e4ef9ea6686c0c145793b,154059,C02
CB1_LIVE_REV_L_CF3_RI2_TI2_R11,LIVE_REV_HOLDOUT,L,CF3,RI2,TI2,R11,CB1_LIVE_REV_BASE_L_CF3_R11,680341,680341001,r11_live_rev_holdout/CB1_LIVE_REV_L_CF3_RI2_TI2_R11.json,24adf59f213f2d2488e9b7eae5c342f9cdf9e12386c0d6b2cbb11908d147714b,159621,C01
CB1_LIVE_REV_L_CF3_RI2_TI2_R11_C02,LIVE_REV_HOLDOUT,L,CF3,RI2,TI2,R11,CB1_LIVE_REV_BASE_L_CF3_R11_C02,690341,690341001,r11_live_rev_holdout/CB1_LIVE_REV_L_CF3_RI2_TI2_R11_C02.json,60558e27e6cc6b7cae3548c6efaefe86e7720e5d09dbdcf9f75a39b541b3c922,151452,C02
CB1_LIVE_REV_M_CF1_RI2_TI2_R09,LIVE_REV_FIT,M,CF1,RI2,TI2,R09,CB1_LIVE_REV_BASE_M_CF1_R09,680219,680219001,r09_live_rev_fit/CB1_LIVE_REV_M_CF1_RI2_TI2_R09.json,ea3f3ba3d491e43d2323661a9a7270314882dfe8c56f41b5e19eb541e434ce0f,68046,C01
CB1_LIVE_REV_M_CF1_RI2_TI2_R09_C02,LIVE_REV_FIT,M,CF1,RI2,TI2,R09,CB1_LIVE_REV_BASE_M_CF1_R09_C02,690219,690219001,r09_live_rev_fit/CB1_LIVE_REV_M_CF1_RI2_TI2_R09_C02.json,23526e55fabbc02d7733b7027dd3f28cea059684952d5c793b2b61121c8e07ae,68060,C02
CB1_LIVE_REV_M_CF1_RI2_TI2_R10,LIVE_REV_SELECT,M,CF1,RI2,TI2,R10,CB1_LIVE_REV_BASE_M_CF1_R10,680220,680220001,r10_live_rev_select/CB1_LIVE_REV_M_CF1_RI2_TI2_R10.json,7a6bc6fd16bd37932ae9a504b112d10ce93911bfa1334614f7c076e9fa7a75dd,64917,C01
CB1_LIVE_REV_M_CF1_RI2_TI2_R10_C02,LIVE_REV_SELECT,M,CF1,RI2,TI2,R10,CB1_LIVE_REV_BASE_M_CF1_R10_C02,690220,690220001,r10_live_rev_select/CB1_LIVE_REV_M_CF1_RI2_TI2_R10_C02.json,10e317876dfab7dc00455b3e84786bff4d1b5c5ce4c5c9eddcf9c8e3a813f94f,62289,C02
CB1_LIVE_REV_M_CF1_RI2_TI2_R11,LIVE_REV_HOLDOUT,M,CF1,RI2,TI2,R11,CB1_LIVE_REV_BASE_M_CF1_R11,680221,680221001,r11_live_rev_holdout/CB1_LIVE_REV_M_CF1_RI2_TI2_R11.json,f691309caab66caa34b4ca1f788ccd73644230eac3a4a916e029a9298a280bed,64117,C01
CB1_LIVE_REV_M_CF1_RI2_TI2_R11_C02,LIVE_REV_HOLDOUT,M,CF1,RI2,TI2,R11,CB1_LIVE_REV_BASE_M_CF1_R11_C02,690221,690221001,r11_live_rev_holdout/CB1_LIVE_REV_M_CF1_RI2_TI2_R11_C02.json,e9d29c2f8d2d0d7a7e6b04a88698702a27cb9428baba76f5397572f513a118fd,68237,C02
CB1_LIVE_REV_M_CF2_RI2_TI2_R09,LIVE_REV_FIT,M,CF2,RI2,TI2,R09,CB1_LIVE_REV_BASE_M_CF2_R09,680229,680229001,r09_live_rev_fit/CB1_LIVE_REV_M_CF2_RI2_TI2_R09.json,fa13b4f820af50fba27902dad7e3cac5d1924f39bede132d6a557955585d3518,76059,C01
CB1_LIVE_REV_M_CF2_RI2_TI2_R09_C02,LIVE_REV_FIT,M,CF2,RI2,TI2,R09,CB1_LIVE_REV_BASE_M_CF2_R09_C02,690229,690229001,r09_live_rev_fit/CB1_LIVE_REV_M_CF2_RI2_TI2_R09_C02.json,3b5eee83d130b0f000b94bd3559a726aef7629fe60fb6e2f5c1d7d8641806f7e,73128,C02
CB1_LIVE_REV_M_CF2_RI2_TI2_R10,LIVE_REV_SELECT,M,CF2,RI2,TI2,R10,CB1_LIVE_REV_BASE_M_CF2_R10,680230,680230001,r10_live_rev_select/CB1_LIVE_REV_M_CF2_RI2_TI2_R10.json,5ced7ea0cd2ac4d9ddded2e828e5a064b6b4adebaeb2f13dc48d632f0d610b24,74076,C01
CB1_LIVE_REV_M_CF2_RI2_TI2_R10_C02,LIVE_REV_SELECT,M,CF2,RI2,TI2,R10,CB1_LIVE_REV_BASE_M_CF2_R10_C02,690230,690230001,r10_live_rev_select/CB1_LIVE_REV_M_CF2_RI2_TI2_R10_C02.json,7ef0758cb738d04564516217679f28c95e0289d0b565ff7aff8a66beb655249a,69469,C02
CB1_LIVE_REV_M_CF2_RI2_TI2_R11,LIVE_REV_HOLDOUT,M,CF2,RI2,TI2,R11,CB1_LIVE_REV_BASE_M_CF2_R11,680231,680231001,r11_live_rev_holdout/CB1_LIVE_REV_M_CF2_RI2_TI2_R11.json,22741ae68b0cea379be9f425ebc7e3eed23e7e167b56f3fa777ad12a8e134cd7,75512,C01
CB1_LIVE_REV_M_CF2_RI2_TI2_R11_C02,LIVE_REV_HOLDOUT,M,CF2,RI2,TI2,R11,CB1_LIVE_REV_BASE_M_CF2_R11_C02,690231,690231001,r11_live_rev_holdout/CB1_LIVE_REV_M_CF2_RI2_TI2_R11_C02.json,e8597fc49baa0f1d3c390ea42fd3a4c758542ec641f744cc8344696ef5ec9e33,73864,C02
CB1_LIVE_REV_M_CF3_RI2_TI2_R09,LIVE_REV_FIT,M,CF3,RI2,TI2,R09,CB1_LIVE_REV_BASE_M_CF3_R09,680239,680239001,r09_live_rev_fit/CB1_LIVE_REV_M_CF3_RI2_TI2_R09.json,4f146e08e5dada577830a4e29cace78320a5a21bd54a0127c213cc3e0197c7ce,78334,C01
CB1_LIVE_REV_M_CF3_RI2_TI2_R09_C02,LIVE_REV_FIT,M,CF3,RI2,TI2,R09,CB1_LIVE_REV_BASE_M_CF3_R09_C02,690239,690239001,r09_live_rev_fit/CB1_LIVE_REV_M_CF3_RI2_TI2_R09_C02.json,288c4efbbdd433320bcde3768e2f33e6bfb239ff4ef8b10882f2120394f88af7,83706,C02
CB1_LIVE_REV_M_CF3_RI2_TI2_R10,LIVE_REV_SELECT,M,CF3,RI2,TI2,R10,CB1_LIVE_REV_BASE_M_CF3_R10,680240,680240001,r10_live_rev_select/CB1_LIVE_REV_M_CF3_RI2_TI2_R10.json,86fb879359b9e0221b9597dc0e48da3f5b17e027efe4c10624a719c4c396ce49,81154,C01
CB1_LIVE_REV_M_CF3_RI2_TI2_R10_C02,LIVE_REV_SELECT,M,CF3,RI2,TI2,R10,CB1_LIVE_REV_BASE_M_CF3_R10_C02,690240,690240001,r10_live_rev_select/CB1_LIVE_REV_M_CF3_RI2_TI2_R10_C02.json,d4bb7f219b1ef4993e44a2f68b249a2aa1e68df2419ded1d44b92ddfbe3185f7,80067,C02
CB1_LIVE_REV_M_CF3_RI2_TI2_R11,LIVE_REV_HOLDOUT,M,CF3,RI2,TI2,R11,CB1_LIVE_REV_BASE_M_CF3_R11,680241,680241001,r11_live_rev_holdout/CB1_LIVE_REV_M_CF3_RI2_TI2_R11.json,ed506bf5f7742c83b8118bf244d92cb840dc629d014124b7ec60f59d042c799b,84665,C01
CB1_LIVE_REV_M_CF3_RI2_TI2_R11_C02,LIVE_REV_HOLDOUT,M,CF3,RI2,TI2,R11,CB1_LIVE_REV_BASE_M_CF3_R11_C02,690241,690241001,r11_live_rev_holdout/CB1_LIVE_REV_M_CF3_RI2_TI2_R11_C02.json,87b33b982a816a27f65b7dc3634164b4cd69584cecc7904003a5f47a65731e97,86196,C02
CB1_LIVE_REV_S_CF1_RI2_TI2_R09,LIVE_REV_FIT,S,CF1,RI2,TI2,R09,CB1_LIVE_REV_BASE_S_CF1_R09,680119,680119001,r09_live_rev_fit/CB1_LIVE_REV_S_CF1_RI2_TI2_R09.json,8313b5eedd16f4500f5dca5279a5cec281c80f0f9cc429485ec4f3de726de2c7,32843,C01
CB1_LIVE_REV_S_CF1_RI2_TI2_R09_C02,LIVE_REV_FIT,S,CF1,RI2,TI2,R09,CB1_LIVE_REV_BASE_S_CF1_R09_C02,690119,690119001,r09_live_rev_fit/CB1_LIVE_REV_S_CF1_RI2_TI2_R09_C02.json,bca5111139bc52e8543566105382e38a5f8ee3bc9a3a66446b5fa89f59281c56,35087,C02
CB1_LIVE_REV_S_CF1_RI2_TI2_R10,LIVE_REV_SELECT,S,CF1,RI2,TI2,R10,CB1_LIVE_REV_BASE_S_CF1_R10,680120,680120001,r10_live_rev_select/CB1_LIVE_REV_S_CF1_RI2_TI2_R10.json,38f0f93adee6a9900077ac1649851cb18ab91111f17bebac6716cfd24e01a791,32019,C01
CB1_LIVE_REV_S_CF1_RI2_TI2_R10_C02,LIVE_REV_SELECT,S,CF1,RI2,TI2,R10,CB1_LIVE_REV_BASE_S_CF1_R10_C02,690120,690120001,r10_live_rev_select/CB1_LIVE_REV_S_CF1_RI2_TI2_R10_C02.json,f0bb52cefda876997bc945dc81c690129531e227abb27fbe00e945fba726f025,34611,C02
CB1_LIVE_REV_S_CF1_RI2_TI2_R11,LIVE_REV_HOLDOUT,S,CF1,RI2,TI2,R11,CB1_LIVE_REV_BASE_S_CF1_R11,680121,680121001,r11_live_rev_holdout/CB1_LIVE_REV_S_CF1_RI2_TI2_R11.json,d79d7cb96e3e6dad2d00cec6ac3e54c0156617ae867665bbf7af756b71066a4b,31762,C01
CB1_LIVE_REV_S_CF1_RI2_TI2_R11_C02,LIVE_REV_HOLDOUT,S,CF1,RI2,TI2,R11,CB1_LIVE_REV_BASE_S_CF1_R11_C02,690121,690121001,r11_live_rev_holdout/CB1_LIVE_REV_S_CF1_RI2_TI2_R11_C02.json,e60d0ba17c1e84b4a5519ef92cb3ab35dc326583e473156605b228aa3ae61cc0,35342,C02
CB1_LIVE_REV_S_CF2_RI2_TI2_R09,LIVE_REV_FIT,S,CF2,RI2,TI2,R09,CB1_LIVE_REV_BASE_S_CF2_R09,680129,680129001,r09_live_rev_fit/CB1_LIVE_REV_S_CF2_RI2_TI2_R09.json,d223ffda8c32eb9a66d01b33e5f8c0c37d826bea46e4e795358b05c8dd9a195e,35669,C01
CB1_LIVE_REV_S_CF2_RI2_TI2_R09_C02,LIVE_REV_FIT,S,CF2,RI2,TI2,R09,CB1_LIVE_REV_BASE_S_CF2_R09_C02,690129,690129001,r09_live_rev_fit/CB1_LIVE_REV_S_CF2_RI2_TI2_R09_C02.json,c8f053ae40c064dd9e681d0a3ea250faccb10f4fa31b68472c02a8bc854ec0bd,33898,C02
CB1_LIVE_REV_S_CF2_RI2_TI2_R10,LIVE_REV_SELECT,S,CF2,RI2,TI2,R10,CB1_LIVE_REV_BASE_S_CF2_R10,680130,680130001,r10_live_rev_select/CB1_LIVE_REV_S_CF2_RI2_TI2_R10.json,2ba22a3767eec6909ab0133af80e44a1b3b9202283ff1487c5d5a4001fac6df9,36369,C01
CB1_LIVE_REV_S_CF2_RI2_TI2_R10_C02,LIVE_REV_SELECT,S,CF2,RI2,TI2,R10,CB1_LIVE_REV_BASE_S_CF2_R10_C02,690130,690130001,r10_live_rev_select/CB1_LIVE_REV_S_CF2_RI2_TI2_R10_C02.json,f3948b8ad4fe8f05e387b62f5b39e68f6d5da9c34d5634ddad54e4802fb58275,36242,C02
CB1_LIVE_REV_S_CF2_RI2_TI2_R11,LIVE_REV_HOLDOUT,S,CF2,RI2,TI2,R11,CB1_LIVE_REV_BASE_S_CF2_R11,680131,680131001,r11_live_rev_holdout/CB1_LIVE_REV_S_CF2_RI2_TI2_R11.json,1514f98ea28b1f9126e764ffa405c4df7c0080784593b10599e215a87a531227,36477,C01
CB1_LIVE_REV_S_CF2_RI2_TI2_R11_C02,LIVE_REV_HOLDOUT,S,CF2,RI2,TI2,R11,CB1_LIVE_REV_BASE_S_CF2_R11_C02,690131,690131001,r11_live_rev_holdout/CB1_LIVE_REV_S_CF2_RI2_TI2_R11_C02.json,d9134c1279e7caa0b92d334b20f88b30b2b28924145557447b7df41a5930b1f4,35099,C02
CB1_LIVE_REV_S_CF3_RI2_TI2_R09,LIVE_REV_FIT,S,CF3,RI2,TI2,R09,CB1_LIVE_REV_BASE_S_CF3_R09,680139,680139001,r09_live_rev_fit/CB1_LIVE_REV_S_CF3_RI2_TI2_R09.json,aebdef60ec926ed0a6786665f0aef05c1376d44bdfb4aaed51a784a441ae9f55,40379,C01
CB1_LIVE_REV_S_CF3_RI2_TI2_R09_C02,LIVE_REV_FIT,S,CF3,RI2,TI2,R09,CB1_LIVE_REV_BASE_S_CF3_R09_C02,690139,690139001,r09_live_rev_fit/CB1_LIVE_REV_S_CF3_RI2_TI2_R09_C02.json,3bef2f6f7b861483f3fea23703a103c7b6c4220a42ba558935bbe56123e9a6eb,37475,C02
CB1_LIVE_REV_S_CF3_RI2_TI2_R10,LIVE_REV_SELECT,S,CF3,RI2,TI2,R10,CB1_LIVE_REV_BASE_S_CF3_R10,680140,680140001,r10_live_rev_select/CB1_LIVE_REV_S_CF3_RI2_TI2_R10.json,aed6e056e5427a474364c7bdd770231e3fb0e4fa7b9a92b71408cf3544c8f97d,37523,C01
CB1_LIVE_REV_S_CF3_RI2_TI2_R10_C02,LIVE_REV_SELECT,S,CF3,RI2,TI2,R10,CB1_LIVE_REV_BASE_S_CF3_R10_C02,690140,690140001,r10_live_rev_select/CB1_LIVE_REV_S_CF3_RI2_TI2_R10_C02.json,f0ec4d4f7adb72b66710318d3590fbafb6244390377cf2700f137d371866dd2f,38038,C02
CB1_LIVE_REV_S_CF3_RI2_TI2_R11,LIVE_REV_HOLDOUT,S,CF3,RI2,TI2,R11,CB1_LIVE_REV_BASE_S_CF3_R11,680141,680141001,r11_live_rev_holdout/CB1_LIVE_REV_S_CF3_RI2_TI2_R11.json,01cc7d6c80783077468e2681d3d492a4569cc3b6c1057d417cf1499c22e93ab9,39097,C01
CB1_LIVE_REV_S_CF3_RI2_TI2_R11_C02,LIVE_REV_HOLDOUT,S,CF3,RI2,TI2,R11,CB1_LIVE_REV_BASE_S_CF3_R11_C02,690141,690141001,r11_live_rev_holdout/CB1_LIVE_REV_S_CF3_RI2_TI2_R11_C02.json,9c97c1341a8174d170c469e1e828b2c49d10261430e3b9aca5516818ab196d36,37752,C02
