instance_id,family,source_file,seed,num_products,num_operations,num_islands,num_configurations,num_w_agvs,num_f_agvs,num_precedence_edges,dag_density,mean_eligible_islands,min_eligible_islands,max_eligible_islands,mean_processing_time,reconfiguration_time_mean,reconfiguration_time_max,source_sha256,generated_sha256,schema_version,generator_version,valid
HU_E_la01,hurink_edata,Hurink_Data/edata/la01.fjs,4225928115,10,50,5,6,2,2,24,0.24,1.2,1,2,57.55,4.36153846,8,4f3868392e4a69eca2f5290805acf2dfd4481b0d411da31bd946be121c37b367,2d6f9d55373eb30e2d1d594279fdcf4feee3e9f5fc684f1c8c9736eb020fdaae,RCIAS-2.0,2.1.0,True
HU_E_la02,hurink_edata,Hurink_Data/edata/la02.fjs,3700629959,10,50,5,6,2,2,23,0.23,1.2,1,2,51.76666667,4.375,8,f717391d68a1cbfd147434a58956d0e1a7edc173974ce9b491e4b612b10f24d5,4b2994d5b8a181f2cc10d79e2db4c9aa6848ded9d9dcdfe10c80c71d075d853f,RCIAS-2.0,2.1.0,True
HU_E_la03,hurink_edata,Hurink_Data/edata/la03.fjs,460893633,10,50,5,6,2,2,25,0.25,1.18,1,2,46.57627119,4.31967213,8,9abdc43ebcf9c1c81af54686e88a87bdd8edc36c9aca05014e78f5bbf48cf1db,c0e08086897471ebafb1826b6dd7e22298dc885b49bcf6244b1ba69472e14756,RCIAS-2.0,2.1.0,True
HU_E_la04,hurink_edata,Hurink_Data/edata/la04.fjs,3763616015,10,50,5,6,2,2,19,0.19,1.18,1,2,49.86440678,4.275,7,74214f9cc9e38b852f3f23b6af17c7c26759848538bd8696ff7841ea34396ab9,b61f3adbde37b08d30f2ec36231c316b1270222cfbd04cfd73a31f49b31165e6,RCIAS-2.0,2.1.0,True
HU_E_la05,hurink_edata,Hurink_Data/edata/la05.fjs,1372540431,10,50,5,6,2,2,26,0.26,1.2,1,2,47.05,4.44736842,8,63827d7dbc61bc6c095a572da6e85233be2869afae2aa0e3f2343a05debcc95e,c7e36732fdf8d8d96be8a53dcb59f9eb91ea344911699d36c3219773bf7771be,RCIAS-2.0,2.1.0,True
HU_E_la06,hurink_edata,Hurink_Data/edata/la06.fjs,2107912801,15,75,5,6,2,2,39,0.26,1.14666667,1,2,53.12790698,4.44615385,8,0ba6594d57fde21efac8ba493c17f763c22d0081b0f0410b768122b3f18bc879,11a05cbb04f216be246fb764cb8e5313eec559b3fb3e5497d7888d16cdcb24db,RCIAS-2.0,2.1.0,True
HU_E_la07,hurink_edata,Hurink_Data/edata/la07.fjs,3524136578,15,75,5,6,2,2,38,0.25333333,1.14666667,1,2,51.01162791,4.35,8,c3a5e7a06f7212ee4fedd3535e7c5fc77f99bc6876ae8bb0d04306dddc326df3,d0480d31cc2157a2f9b2b313b69ee4674b6253fba3219e6504a44d5ba5d0691d,RCIAS-2.0,2.1.0,True
HU_E_la08,hurink_edata,Hurink_Data/edata/la08.fjs,689335009,15,75,5,6,2,2,32,0.21333333,1.14666667,1,2,51.55813953,4.40178571,8,0eb88ebc4b1ba26b0831d2d2cd44c5771e24719cfcd1d5576484991fbfcf41ef,7d33e491c7ccfbe349147f6d29e50ae85d52bc9c5dde820be67a8137d9a3f583,RCIAS-2.0,2.1.0,True
HU_E_la09,hurink_edata,Hurink_Data/edata/la09.fjs,3267818536,15,75,5,6,2,2,30,0.2,1.14666667,1,2,56.97674419,4.39230769,8,a2bf41ef928c3ecf2cbf8d24005c2598e44482f84554fbe81c71523bcec389dd,8cbe787d7ee8981129fe800379b1dfb6ef5c187b70efb7480d1381f7ce2916c8,RCIAS-2.0,2.1.0,True
HU_E_la10,hurink_edata,Hurink_Data/edata/la10.fjs,4083669264,15,75,5,6,2,2,37,0.24666667,1.16,1,2,52.82758621,4.29230769,8,d327b981794deb8828c7b4d3d64253a3e523e9c5b83ae6834313f90282f8d31e,892d22227e3352cd003dffc1a2a1b190a66f25921e6842cee1242f3b3d097774,RCIAS-2.0,2.1.0,True
HU_E_la11,hurink_edata,Hurink_Data/edata/la11.fjs,1099701388,20,100,5,6,2,2,55,0.275,1.13,1,2,55.07079646,4.22,8,11990e936dd1f35b6da511243d8aeba257960a9e61d7b2c705c10d0bd5a8ba6f,22d4d36907c4b7be42f8d5c2197ff991a5066ad5074e1dfd9f136c78612c2e7a,RCIAS-2.0,2.1.0,True
HU_E_la12,hurink_edata,Hurink_Data/edata/la12.fjs,444395652,20,100,5,6,2,2,42,0.21,1.14,1,2,47.98245614,4.32307692,8,db923959b1bbcc8218dc677ddf77a0b745e3e990d82db57663f7c51da6a01450,63472e22daa3585ea0039ffb794675723f68630e3a697d354581ce93c3ae5b35,RCIAS-2.0,2.1.0,True
HU_E_la13,hurink_edata,Hurink_Data/edata/la13.fjs,1368989730,20,100,5,6,2,2,51,0.255,1.14,1,2,51.72807018,4.42142857,8,58143fde52e6683d669e684ac9d63c83ee8c8feafc25887a87815a787f794fa5,bded9e9b242a0c5d5af5fa51f2773fdb124521d829b74afafb8e642848fcf7d4,RCIAS-2.0,2.1.0,True
HU_E_la14,hurink_edata,Hurink_Data/edata/la14.fjs,2774218294,20,100,5,6,2,2,54,0.27,1.13,1,2,53.62831858,4.35333333,8,dda68f1cd8c5723d2e783191985de7e14be8f010195223c58ccd64f5f798f48d,f7d2b8b4b3662ca7eebaba65c3ce3278e10ecca2fa847b1a306be8a64bb45570,RCIAS-2.0,2.1.0,True
HU_E_la15,hurink_edata,Hurink_Data/edata/la15.fjs,1404489945,20,100,5,6,2,2,43,0.215,1.13,1,2,53.57522124,4.22142857,8,ebd4b997d3f021d524ff48df621b89098eca005bd07d570ec52576f776b3fefa,7eaf0efcdb771069c59e84b790afa5981fdbb45ddf92482edd094a28a3b64ed2,RCIAS-2.0,2.1.0,True
HU_E_la16,hurink_edata,Hurink_Data/edata/la16.fjs,1353434233,10,100,10,6,2,2,93,0.20666667,1.13,1,2,54.5840708,4.23706897,8,d0fee445bfb79ebb8e367c0877f43df72d2157325673d2c7d98d8f7300080ac5,ccc3308616aafc729f01b13330a04bbe3cbb07dd3108bdf4babfb3ea3b0b2709,RCIAS-2.0,2.1.0,True
HU_E_la17,hurink_edata,Hurink_Data/edata/la17.fjs,3686302087,10,100,10,6,2,2,93,0.20666667,1.13,1,2,47.61946903,4.2020202,8,ce1ee579a8b37afe588a90233d42194b58c8c4c669b49d391e8a895f65eef2d5,a2a175d724fab22cb122aab20eae15647bb29d081202d03122930c47827c4790,RCIAS-2.0,2.1.0,True
HU_E_la18,hurink_edata,Hurink_Data/edata/la18.fjs,1615336106,10,100,10,6,2,2,84,0.18666667,1.13,1,2,49.4159292,4.27391304,8,8461d9e29dd879cd86f9bae7fda1c16736dfd9d7f700df40c424b48302dbedda,8a8c20a1f71515abeae983ac80548ad9148acbb366a2d353abf3554852443f61,RCIAS-2.0,2.1.0,True
HU_E_la19,hurink_edata,Hurink_Data/edata/la19.fjs,129857150,10,100,10,6,2,2,85,0.18888889,1.13,1,2,53.92920354,4.22222222,8,3d69f0e57f6dc164d31330a62fd06fa4527ca679921b663ad7bc89184994e8c6,3f237db742cde0cdab5f6c9ccd6913b67ee3e8683ebddfbed259514e35e23be0,RCIAS-2.0,2.1.0,True
HU_E_la20,hurink_edata,Hurink_Data/edata/la20.fjs,2518534538,10,100,10,6,2,2,89,0.19777778,1.13,1,2,54.61946903,4.29583333,8,9e8797df1b561e38a997d67c958ec95b459e1501f6e485273167a6d773e4cd7a,3f9b51b1b298d961f77b0dacd4e35e5e677f30936d3f53eda9d44a20992c6b32,RCIAS-2.0,2.1.0,True
HU_E_la21,hurink_edata,Hurink_Data/edata/la21.fjs,2395717744,15,150,10,6,2,2,134,0.19851852,1.15333333,1,3,52.06358382,4.40357143,8,d04d9e98c322be7b06a574a88118f6755b07eea36367e0ddc0d1b1e3599d7b4c,d0341a8468866866e426a5c488b645de44469bfd2c98f24b3410757f9ca31f0c,RCIAS-2.0,2.1.0,True
HU_E_la22,hurink_edata,Hurink_Data/edata/la22.fjs,2508209646,15,150,10,6,2,2,136,0.20148148,1.15333333,1,3,47.63583815,4.37142857,8,0c9a7e06eb54a01f0110338c0951d6a50cb4d4ea136391266eced7d3add31ea6,e06952ad709fbff7ac220c39c2b38996f9c3fdf3431f1153712d8966a40eed4b,RCIAS-2.0,2.1.0,True
HU_E_la23,hurink_edata,Hurink_Data/edata/la23.fjs,2151187525,15,150,10,6,2,2,127,0.18814815,1.14,1,2,52.86549708,4.35517241,8,a82b353bf491d519c05c0daa18aba495966d4d607c7104bebd3a2c030e620190,8141345d229cb74f000a113215e020597472ca32483c0fc3db441946f07deec5,RCIAS-2.0,2.1.0,True
HU_E_la24,hurink_edata,Hurink_Data/edata/la24.fjs,661584573,15,150,10,6,2,2,116,0.17185185,1.16,1,3,51.48275862,4.41666667,8,6bbef0370a7fcfb62b7f5d6d246952e6b4095a1193ec21484dfbe7d214ae7582,94f1243ecc4eeb8dd40bf40f727b6fada3ba24c9ab924a3442b5dba73835f89f,RCIAS-2.0,2.1.0,True
HU_E_la25,hurink_edata,Hurink_Data/edata/la25.fjs,1526709947,15,150,10,6,2,2,106,0.15703704,1.16,1,3,50.24137931,4.37692308,8,084cbe0323261be04dc211368667249755b83ff0e831aa3d110d4188a817e704,7ed3bf2449ba1b04d1e61b07636bc754203d1ee6acefd6b17f9cc2b50e1373b8,RCIAS-2.0,2.1.0,True
HU_E_la26,hurink_edata,Hurink_Data/edata/la26.fjs,2767252525,20,200,10,6,2,2,178,0.19777778,1.135,1,3,53.29515419,4.35862069,8,b9841979d2b86c0677e315685e3bb6cbf7d013dde50e61d9d28a382a0b7c7b0c,cde3b54e6e6048b5988437f78585a75e75344027899eed7109f2d9ec09743228,RCIAS-2.0,2.1.0,True
HU_E_la27,hurink_edata,Hurink_Data/edata/la27.fjs,2890073916,20,200,10,6,2,2,169,0.18777778,1.135,1,3,54.07488987,4.32333333,8,25b1dcfafaea36fa94e9c6176d4dfb414509c0ce3acc7f5745404e2f32fe628f,ee45d2798cc81829090068f88dc62d7e7a7a6ccd13a010b01d76fa0fc802b8c5,RCIAS-2.0,2.1.0,True
HU_E_la28,hurink_edata,Hurink_Data/edata/la28.fjs,470845865,20,200,10,6,2,2,163,0.18111111,1.13,1,3,53.31858407,4.31333333,8,315dd7af785fd9917ac349d0e247149f11def3a79d38c69ba05ec4ceaf26bfc3,21fd999984d54fbffa5453cf881838089c45d80c420ccc8f7991f47738010355,RCIAS-2.0,2.1.0,True
HU_E_la29,hurink_edata,Hurink_Data/edata/la29.fjs,2811052783,20,200,10,6,2,2,151,0.16777778,1.135,1,3,49.84140969,4.31034483,8,0e529b50efb389f131867300e6719cfb79b5a41d7fd3c826d0bb6d6731879919,1ab8b01319c27145bafff72fbb9006eeb0e0b7ef55758aa89258eec9842090ff,RCIAS-2.0,2.1.0,True
HU_E_la30,hurink_edata,Hurink_Data/edata/la30.fjs,3419822819,20,200,10,6,2,2,174,0.19333333,1.135,1,3,53.45374449,4.42333333,8,d45bc37fb9ffa9bc83a8f452ca67b1826a5b6df36a4e30613fb7fd5188122469,a33b9085f2f0fb5f47ee33bb51c4e887f2c4ba448625b31472c42c3bb5cc75a1,RCIAS-2.0,2.1.0,True
HU_E_la31,hurink_edata,Hurink_Data/edata/la31.fjs,552161633,30,300,10,6,2,2,245,0.18148148,1.13666667,1,3,52.16715543,4.35333333,8,3bbcbed6e6461dc84f22463f674a44b8123d0c84e9027da6d863f81750a0dd60,78848e7f0f0a880651180bfa699cf972586ccb605b5a214a1715574d94d3ae47,RCIAS-2.0,2.1.0,True
HU_E_la32,hurink_edata,Hurink_Data/edata/la32.fjs,3402700563,30,300,10,6,2,2,244,0.18074074,1.13666667,1,3,54.74780059,4.41333333,8,cc92fc4c440799973f5eadff3ab6030413d87d51dd65655d820d591605b7d075,c2f6c51bbcc99672c2160fe8a65751e46241a8f42ae10cf5df9fdfbe7aaa8f0a,RCIAS-2.0,2.1.0,True
HU_E_la33,hurink_edata,Hurink_Data/edata/la33.fjs,631298996,30,300,10,6,2,2,254,0.18814815,1.13,1,2,49.64011799,4.38333333,8,f3eca0face7c957e942ff000b15c6a919f35ea644b05d70976c629078f71f0e3,75b29b94d89f55bcebf14903e26c4523e519abe21d07af538fe97c5ef445b693,RCIAS-2.0,2.1.0,True
HU_E_la34,hurink_edata,Hurink_Data/edata/la34.fjs,784789367,30,300,10,6,2,2,243,0.18,1.13,1,3,50.52507375,4.34,8,75578a1edb8b05a4ff139a2aae383252830926e06b1754506691b9b6d38755e6,3b2bd16ab7188ac2332388db5f3fcbb0fe8dcd3d6ed37bd2346d343359cacac7,RCIAS-2.0,2.1.0,True
HU_E_la35,hurink_edata,Hurink_Data/edata/la35.fjs,51807818,30,300,10,6,2,2,269,0.19925926,1.13,1,2,51.87905605,4.31,8,72eb3293849a338e73c6a960654a1e7a15f00916f610d601bef390f568db26fa,0af4cd599d718dfd8868836bc9e67a0b8d6e7c13776e2e3287ed552be20bf394,RCIAS-2.0,2.1.0,True
HU_E_la36,hurink_edata,Hurink_Data/edata/la36.fjs,1357686311,15,225,15,6,2,2,324,0.20571429,1.14666667,1,3,52.21317829,4.31,8,7b7fe6b5d1ffe1164c2079c3af38fcfc5ec8b426ed080eb11eddfeae4e6e5247,9d27209a3251dd902d52b86b1fbab8ead67f131c4472a07690011b9f1311fd24,RCIAS-2.0,2.1.0,True
HU_E_la37,hurink_edata,Hurink_Data/edata/la37.fjs,2892022910,15,225,15,6,2,2,283,0.17968254,1.14666667,1,3,55.47286822,4.35454545,8,8b5e5740784de4a845d7777969d4638399b65a7028204e8762adc3b534be3916,c6158fd85226df09d0847c1d32492885b2ed3d69ec7acee165979c90993431f0,RCIAS-2.0,2.1.0,True
HU_E_la38,hurink_edata,Hurink_Data/edata/la38.fjs,2662882289,15,225,15,6,2,2,288,0.18285714,1.14222222,1,3,50.23735409,4.40232558,8,bda9a19d137f3bad602529a05348e99e60f089dacdd29271da2a65f56100f9fd,2e80a118e639fad9b39d3cd3a9a16798750ced9950f8fbf42e53ee8cdd3b868d,RCIAS-2.0,2.1.0,True
HU_E_la39,hurink_edata,Hurink_Data/edata/la39.fjs,3496023742,15,225,15,6,2,2,301,0.19111111,1.14222222,1,3,51.04280156,4.39,8,468342fdfa60d16254d8d803eea8458d4ef50553c98dc784d32d69e87c134e61,503817e6e7d7fa5e0eac760513cd71ce73e8d0cdef3bed110a006215ec441656,RCIAS-2.0,2.1.0,True
HU_E_la40,hurink_edata,Hurink_Data/edata/la40.fjs,2529681841,15,225,15,6,2,2,289,0.18349206,1.14666667,1,3,50.98837209,4.32682927,8,41ef86d4122d6e5c8cfbc81967c0616a38721af870ca86ebfc38d24c806ee46e,5ec1e9a26a73aec1b4750b92aeae5bca63553b3a39a87f93dd7d66092e33745f,RCIAS-2.0,2.1.0,True
HU_R_la01,hurink_rdata,Hurink_Data/rdata/la01.fjs,3792403187,10,50,5,6,2,2,24,0.24,1.92,1,3,58.54166667,4.33333333,8,7b9ab31df4752bf0629eb102dedf17d6acbc04731cc7cb11221c1caee5e7ffa9,fbd700a51a38a20c45d21cf57706f6e219d6bb610b99530fadd78c0a26b3f4ba,RCIAS-2.0,2.1.0,True
HU_R_la02,hurink_rdata,Hurink_Data/rdata/la02.fjs,3693443900,10,50,5,6,2,2,21,0.21,1.88,1,3,52.31914894,4.30714286,8,fb8dc8ea37821294bfcfdb1c68a47f36750580411788be09e966ba05a8bd5e4a,729f71f0f98dd21b52a4d668243897fb20a22f6794e81993a6b9be29b19130ee,RCIAS-2.0,2.1.0,True
HU_R_la03,hurink_rdata,Hurink_Data/rdata/la03.fjs,4225940026,10,50,5,6,2,2,26,0.26,1.98,1,3,49.04040404,4.40666667,8,6c7027440ead1e99e8479a63c002bb937e7e3f7d6c110cf0632ade9166f68685,4139af603ccc9a2f7db6ce9750baeaff183d62549ce27c91c84155e27e2c62a7,RCIAS-2.0,2.1.0,True
HU_R_la04,hurink_rdata,Hurink_Data/rdata/la04.fjs,4003155928,10,50,5,6,2,2,19,0.19,2.02,1,3,53.51485149,4.23333333,8,7407b9a49844eba841c9d24e4b17a97657152240f5035adb6b6262e80a55e5d2,1ad72af65a234a4131291c4dbc73ce8d0863b6f94de6ed3bf2f11ec04f2dc4c4,RCIAS-2.0,2.1.0,True
HU_R_la05,hurink_rdata,Hurink_Data/rdata/la05.fjs,332452325,10,50,5,6,2,2,21,0.21,2.06,1,3,45.54368932,4.34666667,8,700ded62ae98c5d6ce8a4d3c0f723fec50704c2b557f45fa3decd373e42f242e,165ab9e193e844dfc98307c04fed1a46ca3da47feef914114530353b501296f8,RCIAS-2.0,2.1.0,True
HU_R_la06,hurink_rdata,Hurink_Data/rdata/la06.fjs,1303208123,15,75,5,6,2,2,35,0.23333333,1.88,1,3,53.9858156,4.36666667,8,7cf8568c12267b0c83477b8f230908593571a98922c2938deb4f625ddf1c7ca6,b545da32f51d7ca4025e38aaf5ba36baf8022181ff58a279c6dea920eea20cee,RCIAS-2.0,2.1.0,True
HU_R_la07,hurink_rdata,Hurink_Data/rdata/la07.fjs,2862678935,15,75,5,6,2,2,32,0.21333333,1.96,1,3,49.25170068,4.4,8,941c68462bde016dad306d1ef37fca4fe048fdb4c987d87a9d11ef44a34de822,b9b66451bc87455c98ea393459ba0b0084ebb912da6a2d7c7b3d47ed22c08ffa,RCIAS-2.0,2.1.0,True
HU_R_la08,hurink_rdata,Hurink_Data/rdata/la08.fjs,827518673,15,75,5,6,2,2,28,0.18666667,1.93333333,1,3,51.37931034,4.3,8,2f3f36897da81df63ba269208942a370f2de5bb727512104e63b5299b693960d,44e5f00f9a69b98e27da3597f6b260c524ffea35f8ea2a37b742c2964a720148,RCIAS-2.0,2.1.0,True
HU_R_la09,hurink_rdata,Hurink_Data/rdata/la09.fjs,30142566,15,75,5,6,2,2,35,0.23333333,1.92,1,3,56.35416667,4.20666667,8,27bb2535ff26c5676eb7b5cc5b2858a770e99e3f0e9c984cda9430efcc726c2c,3a49ef2fdef7ec4c3d1be807833337e0eb55865350b1b5f5f9413ebf851979df,RCIAS-2.0,2.1.0,True
HU_R_la10,hurink_rdata,Hurink_Data/rdata/la10.fjs,2595641226,15,75,5,6,2,2,35,0.23333333,1.96,1,3,53.21768707,4.26666667,8,b0fe96623af5ce90c17829350717e97843033cbffa319d9bf837719a27fb5793,f4b0b438fa1c17a09b00445bb479505244251a46d7b78fcba97f522a82bb1177,RCIAS-2.0,2.1.0,True
HU_R_la11,hurink_rdata,Hurink_Data/rdata/la11.fjs,1187686472,20,100,5,6,2,2,47,0.235,2.03,1,3,53.24137931,4.24,8,a1f7b037ec58e7bef02c2a6d9aead848090a925de70d829ac7410c98c6220aca,c36c582a558090f71370f48068c05dc3c28968651052567a01eafa469e9988bf,RCIAS-2.0,2.1.0,True
HU_R_la12,hurink_rdata,Hurink_Data/rdata/la12.fjs,1091447422,20,100,5,6,2,2,46,0.23,1.99,1,3,43.51256281,4.36666667,8,c132b52ff76c5bc80807f02d8882662b077d0d8f71ef178867eb5f3c87f3b058,2ad0ecffe9e04bd7aecf8cf709f9f06f1f2a4d68ed1b9a64c6e933ec5cd175b8,RCIAS-2.0,2.1.0,True
HU_R_la13,hurink_rdata,Hurink_Data/rdata/la13.fjs,1416611216,20,100,5,6,2,2,45,0.225,1.98,1,3,50.36363636,4.29333333,8,27f6429d471199048ffd57274cf990e4087082dc103ce90a8afc7d94b29da30b,308c573d304dd53e0cbf5814ec5317874ca56267cdbd72d029de9cf3af57ecb4,RCIAS-2.0,2.1.0,True
HU_R_la14,hurink_rdata,Hurink_Data/rdata/la14.fjs,1857456852,20,100,5,6,2,2,45,0.225,1.97,1,3,52.93401015,4.26,8,619b64731bb02a25a18d4f7dac28d968a736e22c90c491e9b4c94248e73450cb,ffbac5782aa3fdceeb746635d6648f12f6d5755cda283add7ab135f1047c4013,RCIAS-2.0,2.1.0,True
HU_R_la15,hurink_rdata,Hurink_Data/rdata/la15.fjs,2430393799,20,100,5,6,2,2,48,0.24,1.98,1,3,55.32828283,4.26666667,8,c1eae5b03d00456f4a162b7b7968860880c10a1e0c988f3547eab1cb4508bc31,2b14cf9eaf739c95a624b7e4a3ec1bd8449549e2fd21b13cd364ae3eab5170ec,RCIAS-2.0,2.1.0,True
HU_R_la16,hurink_rdata,Hurink_Data/rdata/la16.fjs,3026678392,10,100,10,6,2,2,84,0.18666667,2.01,1,3,55.84079602,4.23571429,8,5211dc3361f7ce6b6d2a5308320e930cb11e780a03ee92912604baddffa3cc00,f6fa3559dea4936db2591c843f4280ec40a8907d69847e68486201b8fcf5825f,RCIAS-2.0,2.1.0,True
HU_R_la17,hurink_rdata,Hurink_Data/rdata/la17.fjs,1856718516,10,100,10,6,2,2,89,0.19777778,1.93,1,3,47.17098446,4.32857143,8,50a77e50910fa5a088ad4542a5c59bc3f576e8d74daa468a2320f058d326d3b8,748cfa91ab9e3233973817f3aff557ac989cb9a05693e5beb88640d1218764f3,RCIAS-2.0,2.1.0,True
HU_R_la18,hurink_rdata,Hurink_Data/rdata/la18.fjs,1866696289,10,100,10,6,2,2,87,0.19333333,1.99,1,3,51.38693467,4.32413793,8,d613565dbad2d5a23774aa1f9311f573a17b0c0a1f41219a1b0ebb3f8375e9f4,847077203b5260321795eabae1bd7468a7216879d2896f96ba46fbe35b7ae754,RCIAS-2.0,2.1.0,True
HU_R_la19,hurink_rdata,Hurink_Data/rdata/la19.fjs,2939649634,10,100,10,6,2,2,83,0.18444444,1.96,1,3,52.56122449,4.32413793,8,6496751c900350f53a26c2360a18205961b08f9de157b183545afab3956d1da3,0e6152a9e43f5918daaa5df1a11c43c276db8cf51c6734c6730d9dc6626e11b1,RCIAS-2.0,2.1.0,True
HU_R_la20,hurink_rdata,Hurink_Data/rdata/la20.fjs,2501766831,10,100,10,6,2,2,85,0.18888889,1.99,1,3,53.51758794,4.34333333,8,774a30e892b8b99cd1c0739426deeae35002c2a07f5d633add64ef15d890e760,b49650cac557f903b71b6584592da6d6513b11e9cf21c916fdff9a2f1e6ff967,RCIAS-2.0,2.1.0,True
HU_R_la21,hurink_rdata,Hurink_Data/rdata/la21.fjs,3730378194,15,150,10,6,2,2,142,0.21037037,2.00666667,1,3,54.23255814,4.28,8,51672f9e1a163b1e58ec7226ae64fe9d224ba7d2a1540c885e0a8f6efcb5f17c,8544727c1b9197959ee711e2757379d482d1d730a23d45191b9f1c395b728557,RCIAS-2.0,2.1.0,True
HU_R_la22,hurink_rdata,Hurink_Data/rdata/la22.fjs,3103617884,15,150,10,6,2,2,136,0.20148148,2.04,1,3,48.0130719,4.35333333,8,980798af6cd55906ced26316902ce5f0385d9418789a00b8a78babd61c449d0d,82e03de5d7b20e15698b0819820d6e36f85423c53317a950360ce1be6c0176af,RCIAS-2.0,2.1.0,True
HU_R_la23,hurink_rdata,Hurink_Data/rdata/la23.fjs,2842257823,15,150,10,6,2,2,121,0.17925926,2.04,1,3,54.92810458,4.32,8,6b1347fbd1cb45d73f10a60be6aa2c5345964f6ecccaacb4f13cbd85d5e890ab,326745f5f56723d5b92d44a6c22942db1d17071764717408e09bb45c857867c6,RCIAS-2.0,2.1.0,True
HU_R_la24,hurink_rdata,Hurink_Data/rdata/la24.fjs,1387823539,15,150,10,6,2,2,131,0.19407407,1.98,1,3,51.29292929,4.30333333,8,b8f1aa77bb98d4cd23f00432ce7188269b8399ea62110f1abe84705a84a8a4d9,eb1fb25880503eed936951140569c5d06eeadbe642ceeb387159b13c5b32fece,RCIAS-2.0,2.1.0,True
HU_R_la25,hurink_rdata,Hurink_Data/rdata/la25.fjs,2941694454,15,150,10,6,2,2,122,0.18074074,2.01333333,1,3,50.4602649,4.32333333,8,b4378d0942767c3d18bda5b25383fb0caaab22c5d8978f484a6f11ff4dad5840,585d5efaf5d406d02a68664da95f115641061981989b06b391bfa7a8eb9e4afd,RCIAS-2.0,2.1.0,True
