instance_id,caur_split,scale,CF_level,RI_level,TI_level,replicate,cell_replicate,base_structure,base_generation_seed,final_generation_seed,relative_path,sha256,size_bytes
CB1_CAUR_L_CF2_RI2_TI2_R14,CAUR_HOLDOUT,L,CF2,RI2,TI2,R14,C01,CB1_CAUR_BASE_L_CF2_R14,690334,690334001,r14_caur_holdout/CB1_CAUR_L_CF2_RI2_TI2_R14.json,37d8a7a5afa998dc3ecb2bb984ffaaac9c8b2cea2038f37c7daa9918b2d48ed8,137125
CB1_CAUR_L_CF2_RI2_TI2_R14_C02,CAUR_HOLDOUT,L,CF2,RI2,TI2,R14,C02,CB1_CAUR_BASE_L_CF2_R14_C02,695334,695334002,r14_caur_holdout/CB1_CAUR_L_CF2_RI2_TI2_R14_C02.json,bff8f47a4819986370d66adc5520761d120646bfcf60c6391d46b8cd06cc085c,130687
CB1_CAUR_L_CF3_RI2_TI2_R12,CAUR_FIT,L,CF3,RI2,TI2,R12,C01,CB1_CAUR_BASE_L_CF3_R12,690342,690342001,r12_caur_fit/CB1_CAUR_L_CF3_RI2_TI2_R12.json,bdb01c2b6350b572dcac6be3c542e696143bd4766ab3ae7939bff36e6234f25b,154533
CB1_CAUR_L_CF3_RI2_TI2_R12_C02,CAUR_FIT,L,CF3,RI2,TI2,R12,C02,CB1_CAUR_BASE_L_CF3_R12_C02,695342,695342001,r12_caur_fit/CB1_CAUR_L_CF3_RI2_TI2_R12_C02.json,2373d994f8a29b3d5bc58aacb9c4f74c8c60d0950760ab044a7354c19b09f9b9,151985
CB1_CAUR_L_CF3_RI2_TI2_R13,CAUR_SELECT,L,CF3,RI2,TI2,R13,C01,CB1_CAUR_BASE_L_CF3_R13,690343,690343001,r13_caur_select/CB1_CAUR_L_CF3_RI2_TI2_R13.json,6e835dbbfadf0b0db8412df66ca0526d1b07f0978c800bfbcabe573934224b79,160591
CB1_CAUR_L_CF3_RI2_TI2_R13_C02,CAUR_SELECT,L,CF3,RI2,TI2,R13,C02,CB1_CAUR_BASE_L_CF3_R13_C02,695343,695343001,r13_caur_select/CB1_CAUR_L_CF3_RI2_TI2_R13_C02.json,1c3db360e53f996a941b9555a8ba7a0d72c2ce3d5e135ac8755da39366e8d995,158447
CB1_CAUR_L_CF3_RI2_TI2_R14,CAUR_HOLDOUT,L,CF3,RI2,TI2,R14,C01,CB1_CAUR_BASE_L_CF3_R14,690344,690344001,r14_caur_holdout/CB1_CAUR_L_CF3_RI2_TI2_R14.json,b5a49d3ca0cc931c649b3e317e55410180a688c0b52a9716a5b46350307f4f2d,149920
CB1_CAUR_L_CF3_RI2_TI2_R14_C02,CAUR_HOLDOUT,L,CF3,RI2,TI2,R14,C02,CB1_CAUR_BASE_L_CF3_R14_C02,695344,695344001,r14_caur_holdout/CB1_CAUR_L_CF3_RI2_TI2_R14_C02.json,e62e4d0737d61f9bad1c90125089bf325dc29b1915aa5277179319403c4fac53,153295
CB1_CAUR_M_CF1_RI2_TI2_R12,CAUR_FIT,M,CF1,RI2,TI2,R12,C01,CB1_CAUR_BASE_M_CF1_R12,690222,690222001,r12_caur_fit/CB1_CAUR_M_CF1_RI2_TI2_R12.json,f3e73b5840e8e50e51b2bf81be2d17dc60648dd4666091ef91a94a0d3544e971,62182
CB1_CAUR_M_CF1_RI2_TI2_R12_C02,CAUR_FIT,M,CF1,RI2,TI2,R12,C02,CB1_CAUR_BASE_M_CF1_R12_C02,695222,695222001,r12_caur_fit/CB1_CAUR_M_CF1_RI2_TI2_R12_C02.json,c5f935a0c647bb5931b89836d8cecd934eab4933915ffb05394716fb026d4bb9,64330
CB1_CAUR_M_CF1_RI2_TI2_R13,CAUR_SELECT,M,CF1,RI2,TI2,R13,C01,CB1_CAUR_BASE_M_CF1_R13,690223,690223001,r13_caur_select/CB1_CAUR_M_CF1_RI2_TI2_R13.json,c947402338de464e4959e4eb15ea99bfcbeb59478be27d25a06bde0d7cf830e5,69265
CB1_CAUR_M_CF1_RI2_TI2_R13_C02,CAUR_SELECT,M,CF1,RI2,TI2,R13,C02,CB1_CAUR_BASE_M_CF1_R13_C02,695223,695223001,r13_caur_select/CB1_CAUR_M_CF1_RI2_TI2_R13_C02.json,2da08c643dc551e88fad25d93242b29081b6f64f68851cee0d30c668521312ca,66331
CB1_CAUR_M_CF1_RI2_TI2_R14,CAUR_HOLDOUT,M,CF1,RI2,TI2,R14,C01,CB1_CAUR_BASE_M_CF1_R14,690224,690224001,r14_caur_holdout/CB1_CAUR_M_CF1_RI2_TI2_R14.json,2625d70c84f73a2ea425ef0d02e54f89f633fcac68cd0c019673d31fc962f25f,69556
CB1_CAUR_M_CF1_RI2_TI2_R14_C02,CAUR_HOLDOUT,M,CF1,RI2,TI2,R14,C02,CB1_CAUR_BASE_M_CF1_R14_C02,695224,695224001,r14_caur_holdout/CB1_CAUR_M_CF1_RI2_TI2_R14_C02.json,d350d3181d6df7ade1d00604cd9aa1c8abefaa733a58cbc5aab25e7e354235ed,61021
CB1_CAUR_M_CF2_RI2_TI2_R12,CAUR_FIT,M,CF2,RI2,TI2,R12,C01,CB1_CAUR_BASE_M_CF2_R12,690232,690232001,r12_caur_fit/CB1_CAUR_M_CF2_RI2_TI2_R12.json,d9ebab88d1a3e2d3da92e56533b0c1d062ebeb81d84c125ec61af8fe79e7087a,72399
CB1_CAUR_M_CF2_RI2_TI2_R12_C02,CAUR_FIT,M,CF2,RI2,TI2,R12,C02,CB1_CAUR_BASE_M_CF2_R12_C02,695232,695232001,r12_caur_fit/CB1_CAUR_M_CF2_RI2_TI2_R12_C02.json,9a1b7de15cfd0663d92ad81a5378da0922b92dc6f7c6b042cd8daf542a21b803,73872
CB1_CAUR_M_CF2_RI2_TI2_R13,CAUR_SELECT,M,CF2,RI2,TI2,R13,C01,CB1_CAUR_BASE_M_CF2_R13,690233,690233001,r13_caur_select/CB1_CAUR_M_CF2_RI2_TI2_R13.json,c3fab99992fda0e5c31c04287cadb60403cf5e2d7a56204e37ae09a49b638cc7,71062
CB1_CAUR_M_CF2_RI2_TI2_R13_C02,CAUR_SELECT,M,CF2,RI2,TI2,R13,C02,CB1_CAUR_BASE_M_CF2_R13_C02,695233,695233001,r13_caur_select/CB1_CAUR_M_CF2_RI2_TI2_R13_C02.json,e41d4482ef37efe4a5536acb27b3edfbd96e1b245431e3114596e8e6c03dcec1,70482
CB1_CAUR_M_CF2_RI2_TI2_R14,CAUR_HOLDOUT,M,CF2,RI2,TI2,R14,C01,CB1_CAUR_BASE_M_CF2_R14,690234,690234001,r14_caur_holdout/CB1_CAUR_M_CF2_RI2_TI2_R14.json,401e4482327913280070294838066725d4562a9a91e96077754fff8608311fa1,69097
CB1_CAUR_M_CF2_RI2_TI2_R14_C02,CAUR_HOLDOUT,M,CF2,RI2,TI2,R14,C02,CB1_CAUR_BASE_M_CF2_R14_C02,695234,695234001,r14_caur_holdout/CB1_CAUR_M_CF2_RI2_TI2_R14_C02.json,df1c98149d36667b322e51a0550574f7aa779966aca4ef4ae4b243b57dee1de5,69233
CB1_CAUR_M_CF3_RI2_TI2_R12,CAUR_FIT,M,CF3,RI2,TI2,R12,C01,CB1_CAUR_BASE_M_CF3_R12,690242,690242001,r12_caur_fit/CB1_CAUR_M_CF3_RI2_TI2_R12.json,5ccadcfce0befc39234938c398bf932ff364dcf6a2ecd7adb51cebdb1d489239,81130
CB1_CAUR_M_CF3_RI2_TI2_R12_C02,CAUR_FIT,M,CF3,RI2,TI2,R12,C02,CB1_CAUR_BASE_M_CF3_R12_C02,695242,695242001,r12_caur_fit/CB1_CAUR_M_CF3_RI2_TI2_R12_C02.json,94cd02375f0a1e0e878aaf1591384d4eaceee39aab3ebab323e7739ac2e086d7,79915
CB1_CAUR_M_CF3_RI2_TI2_R13,CAUR_SELECT,M,CF3,RI2,TI2,R13,C01,CB1_CAUR_BASE_M_CF3_R13,690243,690243001,r13_caur_select/CB1_CAUR_M_CF3_RI2_TI2_R13.json,6708ac5a733b895a037bc3afc6c904cdbc836a54f0b8fd348884b297ffbadd71,79069
CB1_CAUR_M_CF3_RI2_TI2_R13_C02,CAUR_SELECT,M,CF3,RI2,TI2,R13,C02,CB1_CAUR_BASE_M_CF3_R13_C02,695243,695243001,r13_caur_select/CB1_CAUR_M_CF3_RI2_TI2_R13_C02.json,528c6ca52c850ae3b6bd3afb91a0f488ee955a87187dd25936f4e28238978aca,81977
CB1_CAUR_M_CF3_RI2_TI2_R14,CAUR_HOLDOUT,M,CF3,RI2,TI2,R14,C01,CB1_CAUR_BASE_M_CF3_R14,690244,690244001,r14_caur_holdout/CB1_CAUR_M_CF3_RI2_TI2_R14.json,2c70f793b44e107ea2abb34101e07bcdc1cbd0b1e3a51c364b313f97397ff5c9,82131
CB1_CAUR_M_CF3_RI2_TI2_R14_C02,CAUR_HOLDOUT,M,CF3,RI2,TI2,R14,C02,CB1_CAUR_BASE_M_CF3_R14_C02,695244,695244001,r14_caur_holdout/CB1_CAUR_M_CF3_RI2_TI2_R14_C02.json,414d42ca1e52ab8115e1adb60e5a70fe3bf977762f425b87ffcbfd46c8e5f5f1,83431
CB1_CAUR_S_CF1_RI2_TI2_R12,CAUR_FIT,S,CF1,RI2,TI2,R12,C01,CB1_CAUR_BASE_S_CF1_R12,690122,690122001,r12_caur_fit/CB1_CAUR_S_CF1_RI2_TI2_R12.json,12ff9dd4ce3a668c89ba8edd8ee0c9f87232f00b8ce8dbb42a4827402c20047a,33778
CB1_CAUR_S_CF1_RI2_TI2_R12_C02,CAUR_FIT,S,CF1,RI2,TI2,R12,C02,CB1_CAUR_BASE_S_CF1_R12_C02,695122,695122001,r12_caur_fit/CB1_CAUR_S_CF1_RI2_TI2_R12_C02.json,74a7fad62f6bab915dde95c71d8cee211cc37cf7ba296a7f69869350a5c295d4,32342
CB1_CAUR_S_CF1_RI2_TI2_R13,CAUR_SELECT,S,CF1,RI2,TI2,R13,C01,CB1_CAUR_BASE_S_CF1_R13,690123,690123001,r13_caur_select/CB1_CAUR_S_CF1_RI2_TI2_R13.json,6049b9d832976d026a84bd10515ed3b617ae5ba4d10b8eb799588134d4ef79f3,34108
CB1_CAUR_S_CF1_RI2_TI2_R13_C02,CAUR_SELECT,S,CF1,RI2,TI2,R13,C02,CB1_CAUR_BASE_S_CF1_R13_C02,695123,695123001,r13_caur_select/CB1_CAUR_S_CF1_RI2_TI2_R13_C02.json,548491c8178b56b62aa42d3822f3c1f0dd9186affc95a269b043983e8df63e87,32150
CB1_CAUR_S_CF1_RI2_TI2_R14,CAUR_HOLDOUT,S,CF1,RI2,TI2,R14,C01,CB1_CAUR_BASE_S_CF1_R14,690124,690124001,r14_caur_holdout/CB1_CAUR_S_CF1_RI2_TI2_R14.json,10758b1c34e37ee692a5c7a73c60caa62b12c97c644322d9c0130b8da31acbe6,33903
CB1_CAUR_S_CF1_RI2_TI2_R14_C02,CAUR_HOLDOUT,S,CF1,RI2,TI2,R14,C02,CB1_CAUR_BASE_S_CF1_R14_C02,695124,695124001,r14_caur_holdout/CB1_CAUR_S_CF1_RI2_TI2_R14_C02.json,c5c70317e9783da411f5b4fbd9005233c94a9cb512a113e360955eeee4d4b8f1,33155
CB1_CAUR_S_CF2_RI2_TI2_R12,CAUR_FIT,S,CF2,RI2,TI2,R12,C01,CB1_CAUR_BASE_S_CF2_R12,690132,690132001,r12_caur_fit/CB1_CAUR_S_CF2_RI2_TI2_R12.json,539a503ec74ff5d21200fb1410004fe10142f209ce1f6e910a08abb20b2d8f23,35981
CB1_CAUR_S_CF2_RI2_TI2_R12_C02,CAUR_FIT,S,CF2,RI2,TI2,R12,C02,CB1_CAUR_BASE_S_CF2_R12_C02,695132,695132002,r12_caur_fit/CB1_CAUR_S_CF2_RI2_TI2_R12_C02.json,92d8057295dbcbc4b54e91705c109ca5182fb4203fc8d99455311346d6468af6,37272
CB1_CAUR_S_CF2_RI2_TI2_R13,CAUR_SELECT,S,CF2,RI2,TI2,R13,C01,CB1_CAUR_BASE_S_CF2_R13,690133,690133003,r13_caur_select/CB1_CAUR_S_CF2_RI2_TI2_R13.json,680ce9c8dab57debb14fad96b1ea1ebff2215152b328997250ec85c87ded5fe1,37603
CB1_CAUR_S_CF2_RI2_TI2_R13_C02,CAUR_SELECT,S,CF2,RI2,TI2,R13,C02,CB1_CAUR_BASE_S_CF2_R13_C02,695133,695133001,r13_caur_select/CB1_CAUR_S_CF2_RI2_TI2_R13_C02.json,63671670c32cff656c4d4b39337c9a4b30cf57eb29c34f26eae89d62b3b1cdc1,36726
CB1_CAUR_S_CF2_RI2_TI2_R14,CAUR_HOLDOUT,S,CF2,RI2,TI2,R14,C01,CB1_CAUR_BASE_S_CF2_R14,690134,690134001,r14_caur_holdout/CB1_CAUR_S_CF2_RI2_TI2_R14.json,a310d702d0a0c2f3fe6fee362396a394115b07c241a69de04881277e9e2aab35,35529
CB1_CAUR_S_CF2_RI2_TI2_R14_C02,CAUR_HOLDOUT,S,CF2,RI2,TI2,R14,C02,CB1_CAUR_BASE_S_CF2_R14_C02,695134,695134001,r14_caur_holdout/CB1_CAUR_S_CF2_RI2_TI2_R14_C02.json,03cc5cecc5b2342be8713da2590b20c6bbf9a188c30cf926ac4dda09a36f9619,34773
CB1_CAUR_S_CF3_RI2_TI2_R12,CAUR_FIT,S,CF3,RI2,TI2,R12,C01,CB1_CAUR_BASE_S_CF3_R12,690142,690142001,r12_caur_fit/CB1_CAUR_S_CF3_RI2_TI2_R12.json,3f232d8c25a7545c618b92d20016e072a645edcbe2b6e5247d8ed2da66733eff,39479
CB1_CAUR_S_CF3_RI2_TI2_R12_C02,CAUR_FIT,S,CF3,RI2,TI2,R12,C02,CB1_CAUR_BASE_S_CF3_R12_C02,695142,695142002,r12_caur_fit/CB1_CAUR_S_CF3_RI2_TI2_R12_C02.json,96c10a051fa514f280b12e2f8c0ccf414e920ac4610fe333af1151dc928410d4,41113
CB1_CAUR_S_CF3_RI2_TI2_R13,CAUR_SELECT,S,CF3,RI2,TI2,R13,C01,CB1_CAUR_BASE_S_CF3_R13,690143,690143001,r13_caur_select/CB1_CAUR_S_CF3_RI2_TI2_R13.json,787ae5ff991fa38fa429b4c6c23f2957d55e323165c15ebc776338fba72dbfdb,40958
CB1_CAUR_S_CF3_RI2_TI2_R13_C02,CAUR_SELECT,S,CF3,RI2,TI2,R13,C02,CB1_CAUR_BASE_S_CF3_R13_C02,695143,695143001,r13_caur_select/CB1_CAUR_S_CF3_RI2_TI2_R13_C02.json,b4bd2db6e1db5d1796bc6e562157a02d10cf5b0325b77022fbc912729b0b5d87,38231
CB1_CAUR_S_CF3_RI2_TI2_R14,CAUR_HOLDOUT,S,CF3,RI2,TI2,R14,C01,CB1_CAUR_BASE_S_CF3_R14,690144,690144001,r14_caur_holdout/CB1_CAUR_S_CF3_RI2_TI2_R14.json,d853acea9a813de7e3affdc42688b3bd94c05075a3a3b8f2b89f37cd743e9658,38111
CB1_CAUR_S_CF3_RI2_TI2_R14_C02,CAUR_HOLDOUT,S,CF3,RI2,TI2,R14,C02,CB1_CAUR_BASE_S_CF3_R14_C02,695144,695144003,r14_caur_holdout/CB1_CAUR_S_CF3_RI2_TI2_R14_C02.json,190c270e93c2e521cb9108a8aa379731becad21d9546484a54dfd5c844f140dc,38302
