state_id,target_set_id,instance_id,phase6n_data_origin,scale,CF_level,oof_fold,selection_roles,is_fallback
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_9ee7b24ddf3a5502310d,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_b6bec396808f26cdd743,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_ee783c027ef0637a5813,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_1e114b38946e2978ec0a,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_6e1af48650cdc6e99df6,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_6fcca90d49dd37ac36ac,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_6fe3be83058415290bc9,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,CANONICAL_FALLBACK,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_71cc1c07bec3fac29807,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_a57134c1f87d535c4e6f,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_ca2364e01e03d5ad6200,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,ts_fa306c2b4a8b45defa77,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_3d367a2f8bdd7113cfcd,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_413f575e90461b646f32,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_4523330621613c54692f,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_4e03ff70a4d4d163cf99,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_aec4599f9432fef0e642,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_b2991e96ea1b5fb1c767,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_b5021ed0f3f8640b6932,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,CANONICAL_FALLBACK,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,ts_d8aad3cd4e872949fc1d,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000164,ts_15008b5b01451e20fef1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000164,ts_2b353a1b8a0fbcf3b211,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000164,ts_3282d45464509061ab6e,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000164,ts_dd2737c71c9d1c12ce7c,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000164,ts_df2f3b5e98964a878513,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,CANONICAL_FALLBACK|PHASE6N_TOP4,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000164,ts_e610c232cbf2d0cb22bc,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000204,ts_2d49a4adbd5df5aee1f6,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000204,ts_4a0a4be1a1792f469060,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,CANONICAL_FALLBACK,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000204,ts_5752a0935f20f9f67323,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000204,ts_5b4646d47a36596223bc,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000204,ts_63c39046eb0e8e1a7bf4,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000204,ts_7c96071f09279f957e4c,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000204,ts_9ab90740ac78da4319e9,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000204,ts_a017a91e32907790d18b,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000204,ts_c2763865fbfc3d4ad52f,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000241,ts_01e871b03e568e7ba306,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,CANONICAL_FALLBACK,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000241,ts_4417b16583d64f2118ae,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000241,ts_73277509e04203b0991c,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000241,ts_9880308db5f3eb1b0197,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000241,ts_9c166d7c413dd0fa7dab,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000241,ts_b8fc4be244ef107bf643,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000269,ts_1b206d9c54d2a80a5dca,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000269,ts_21d31e322b6a186b3ab6,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,CANONICAL_FALLBACK,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000269,ts_59eb303cf5a3e7e6eab5,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000269,ts_78e4789232bef2e01bad,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000269,ts_a52db4b46d263b0a0ca9,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000269,ts_f355fb3d191b2dc5a2e1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000012,ts_0f8cb42b4e2bf4171f52,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000012,ts_13b72d69c717c6a79930,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,CANONICAL_FALLBACK,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000012,ts_73737862519aba5ea542,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000012,ts_8685a418df005b171cc4,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000012,ts_9852e61b33b10734ee02,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000012,ts_a3b95a6d973a82e3c35a,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000012,ts_d72a433aa1fba52470e2,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000049,ts_1003a05a744d199591e9,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000049,ts_22af4fca36d5add487ec,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000049,ts_44625add278ed3329811,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000049,ts_633cbd4fbb4136846120,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000049,ts_64fa8be32fa07e9fcaf1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000049,ts_7a50d0e8969e55d20a09,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,CANONICAL_FALLBACK|PHASE6N_TOP4,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000049,ts_90ac416baae218966f97,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000049,ts_ec5ee5e6ec54b5331f5a,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,ts_08e8c9a837a5996cee38,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,ts_467dddd3bc89e3de1dbd,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,CANONICAL_FALLBACK,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,ts_4f532b3e7150578998c1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,ts_7bb2bd9cf42a81d017c8,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,ts_9dfde1330328090f6753,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,ts_acca83a5e735a9051019,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,ts_b2062c766cdd2dfbceb4,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,ts_da909ed43f41ac06b02c,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000090,ts_fae81e5a53988d8d5e24,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000127,ts_821e648ffc28083f5360,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000127,ts_ab743dcdc4edc4bd9408,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000127,ts_dbf94c06e0f416c3402f,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000127,ts_dc334c29c6da2295bb0f,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000127,ts_e24aafa11623b8bb565e,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,CANONICAL_FALLBACK,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000127,ts_e87c818e72047886a22b,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000127,ts_f8af5008b48129bae5f9,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000164,ts_037ea1bc45bc2dff1d04,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000164,ts_137e4ed150c4d35cd7a6,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000164,ts_32751aa080dd6a49aade,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000164,ts_4510744bf9ec0aa0cc04,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000164,ts_75ae91d5089c133df8fe,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,CANONICAL_FALLBACK,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000164,ts_afd53e1b4ce8d00ba637,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000164,ts_f3d82db0cb4ca93c012a,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000204,ts_0fcbc3ed6b56671763c9,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000204,ts_2c7684ba435faff7a31c,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000204,ts_56a32408e4e2f8d888aa,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,CANONICAL_FALLBACK|PHASE6L_TOP4,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000204,ts_9b9d0957f5a5341c0de8,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000204,ts_d8132277049e77ad78ca,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000204,ts_d8ab4095338a380c9976,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000241,ts_261cf31ef21ec8395bc3,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000241,ts_4d3fe6682f6c0f6a7d69,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000241,ts_5607760df292827dc556,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000241,ts_7210017705b86bc5443d,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6N_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000241,ts_8523c7a3ad2432564f22,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691202__it0000241,ts_8ef430a7b7ea7a05d689,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ORIGINAL_PHASE6J_CAUR,L,CF1,1,PHASE6L_TOP4|PHASE6N_TOP4,False
