table,field,classification
marginal_swap_results,scale,MODEL_INPUT_ALLOWED
marginal_swap_results,CF_level,MODEL_INPUT_ALLOWED
marginal_swap_results,RI_level,MODEL_INPUT_ALLOWED
marginal_swap_results,TI_level,MODEL_INPUT_ALLOWED
marginal_swap_results,search_stage,MODEL_INPUT_ALLOWED
marginal_swap_results,bottleneck_proxy,MODEL_INPUT_ALLOWED
marginal_swap_results,removed_in_operation,MODEL_INPUT_ALLOWED
marginal_swap_results,added_out_operation,MODEL_INPUT_ALLOWED
marginal_swap_results,reference_destroyed_operation_ids,IDENTIFIER_ONLY
marginal_swap_results,swap_destroyed_operation_ids,IDENTIFIER_ONLY
marginal_swap_results,repair_operator,ANALYSIS_ONLY
marginal_swap_results,repair_seed,IDENTIFIER_ONLY
marginal_swap_results,candidate_trials,ANALYSIS_ONLY
marginal_swap_results,reference_absolute_improvement,LABEL_ONLY
marginal_swap_results,swap_absolute_improvement,LABEL_ONLY
marginal_swap_results,marginal_swap_gain,LABEL_ONLY
marginal_swap_results,swap_improved,LABEL_ONLY
marginal_swap_results,decoder_evaluations,ANALYSIS_ONLY
marginal_swap_results,runtime,ANALYSIS_ONLY
