机器,工序,开始加工,完成加工,加工时间
M3,o3_10,1293,1305,12
M3,o7_12,1316,1324,8
M3,o2_11,1422,1428,6
M3,o19_12,1456,1464,8
M3,o7_13,1474,1480,6
M3,o14_10,1540,1552,12
M3,o15_12,1578,1586,8
M3,o5_14,1590,1598,8
M4,o11_1,11,22,11
M4,o12_4,954,961,7
M4,o16_9,1184,1195,11
M4,o18_11,1575,1586,11
M5,o11_2,61,72,11
M5,o16_2,127,142,15
M5,o10_2,146,161,15
M5,o15_2,318,333,15
M5,o4_1,471,481,10
M5,o2_6,509,519,10
M5,o11_5,538,553,15
M5,o17_6,554,563,9
M5,o14_6,563,578,15
M5,o12_2,605,620,15
M5,o4_3,691,706,15
M5,o2_7,706,711,5
M5,o19_6,723,738,15
M5,o20_6,752,767,15
M5,o18_6,1032,1043,11
M5,o5_11,1043,1054,11
M5,o7_9,1107,1118,11
M5,o7_10,1125,1140,15
M5,o17_11,1147,1158,11
M5,o10_11,1468,1478,10
M5,o6_10,1489,1494,5
M5,o5_13,1521,1531,10
M5,o19_13,1545,1556,11
M5,o6_11,1556,1571,15
M6,o5_1,47,58,11
M6,o1_12,75,88,13
M6,o1_1,88,93,5
M6,o8_2,97,108,11
M6,o16_1,108,119,11
M6,o17_1,135,153,18
M6,o19_2,153,158,5
M6,o7_2,201,212,11
M6,o11_3,212,230,18
M6,o9_1,230,241,11
M6,o1_2,249,260,11
M6,o12_1,331,342,11
M6,o14_4,342,347,5
M6,o17_4,355,366,11
M6,o17_5,366,377,11
M6,o18_1,389,407,18
M6,o15_4,453,471,18
M6,o10_6,485,498,13
M6,o3_4,498,503,5
M6,o5_4,527,538,11
M6,o18_2,597,610,13
M6,o9_7,610,628,18
M6,o3_5,699,712,13
M6,o15_8,712,723,11
M6,o10_9,723,728,5
M6,o8_9,760,778,18
M6,o18_4,881,892,11
M6,o20_9,903,914,11
M6,o6_6,985,998,13
M6,o20_11,1055,1073,18
M6,o6_7,1073,1084,11
M6,o18_8,1084,1089,5
M6,o16_10,1207,1212,5
M6,o7_11,1212,1230,18
M6,o4_6,1230,1241,11
M6,o13_8,1265,1276,11
M6,o12_9,1442,1455,13
M6,o9_10,1483,1488,5
M6,o16_14,1549,1560,11
M7,o2_1,122,133,11
M7,o14_3,268,277,9
M7,o2_5,387,402,15
M7,o17_10,969,978,9
M7,o6_9,1392,1397,5
M7,o12_11,1479,1488,9
M8,o8_1,25,35,10
M8,o14_2,54,64,10
M8,o17_3,211,219,8
M8,o2_2,227,243,16
M8,o8_4,325,333,8
M8,o19_3,423,431,8
M8,o6_3,490,500,10
M8,o9_5,513,529,16
M8,o15_5,529,545,16
M8,o9_6,545,553,8
M8,o10_7,583,599,16
M8,o18_3,635,651,16
M8,o11_7,651,659,8
M8,o20_5,685,701,16
M8,o7_8,793,809,16
M8,o17_7,809,819,10
M8,o14_9,845,853,8
M8,o20_8,886,896,10
M8,o16_7,943,951,8
M8,o1_7,993,1001,8
M8,o12_6,1177,1185,8
M8,o11_9,1234,1244,10
M8,o3_9,1275,1291,16
M8,o2_9,1304,1312,8
M8,o2_10,1325,1335,10
M8,o13_10,1342,1352,10
M8,o8_13,1471,1487,16
M8,o4_11,1531,1541,10
M9,o5_2,60,70,10
M9,o10_1,70,80,10
M9,o20_2,118,127,9
M9,o16_3,164,183,19
M9,o9_3,259,266,7
M9,o13_3,341,353,12
M9,o6_1,353,362,9
M9,o16_4,421,433,12
M9,o15_3,433,442,9
M9,o11_4,442,452,10
M9,o1_4,467,474,7
M9,o9_4,496,506,10
M9,o6_4,548,567,19
M9,o7_5,567,574,7
M9,o4_2,608,621,13
M9,o14_7,766,776,10
M9,o15_9,832,842,10
M9,o1_6,846,858,12
M9,o2_8,864,877,13
M9,o9_9,884,896,12
M9,o5_10,903,912,9
M9,o3_6,1002,1012,10
M9,o19_8,1012,1021,9
M9,o20_10,1021,1033,12
M9,o3_7,1066,1079,13
M9,o11_8,1079,1098,19
M9,o3_8,1098,1105,7
M9,o13_5,1105,1114,9
M9,o16_11,1214,1224,10
M9,o18_9,1224,1233,9
M9,o1_10,1234,1244,10
M9,o13_9,1290,1303,13
M9,o17_13,1382,1395,13
M9,o16_13,1452,1465,13
M9,o10_12,1500,1507,7
M9,o2_12,1507,1517,10
M10,o5_3,104,115,11
M10,o8_5,408,417,9
M10,o7_4,447,452,5
M10,o20_7,797,808,11
M10,o12_3,831,836,5
M10,o17_8,911,922,11
M10,o4_5,969,974,5
M10,o19_9,1145,1158,13
M10,o4_8,1322,1335,13
