机器,工序,开始加工,完成加工,加工时间
M6,o8_9,1095,1113,18
M6,o8_11,1178,1183,5
M6,o17_9,1217,1222,5
M6,o7_11,1281,1299,18
M6,o16_10,1379,1384,5
M6,o6_7,1443,1454,11
M6,o4_8,1494,1505,11
M6,o9_10,1648,1653,5
M6,o13_8,1759,1770,11
M7,o2_1,86,97,11
M7,o16_1,182,193,11
M7,o9_1,216,227,11
M7,o1_2,261,272,11
M7,o18_1,283,296,13
M7,o9_2,347,352,5
M7,o19_4,405,414,9
M7,o19_5,632,647,15
M7,o6_5,1029,1037,8
M7,o4_6,1051,1062,11
M7,o9_7,1062,1075,13
M7,o1_6,1075,1089,14
M7,o10_10,1099,1114,15
M7,o20_9,1259,1270,11
M7,o19_11,1479,1484,5
M7,o1_11,1511,1516,5
M7,o5_13,1541,1556,15
M7,o3_10,1556,1571,15
M7,o15_10,1613,1628,15
M7,o9_9,1628,1642,14
M7,o20_12,1683,1698,15
M7,o20_13,1831,1840,9
M8,o15_1,49,59,10
M8,o17_3,289,297,8
M8,o18_3,397,413,16
M8,o6_3,473,483,10
M8,o8_4,588,596,8
M8,o1_4,604,614,10
M8,o7_8,614,630,16
M8,o9_5,679,695,16
M8,o17_7,871,881,10
M8,o1_7,1113,1121,8
M8,o16_7,1141,1149,8
M8,o8_13,1368,1384,16
M8,o11_7,1384,1392,8
M8,o10_12,1581,1591,10
M8,o12_10,1733,1749,16
M9,o8_1,28,35,7
M9,o5_2,40,50,10
M9,o20_2,73,82,9
M9,o19_1,118,137,19
M9,o10_1,137,147,10
M9,o12_3,156,166,10
M9,o14_2,226,233,7
M9,o7_4,298,308,10
M9,o7_5,308,315,7
M9,o16_3,443,462,19
M9,o9_4,462,472,10
M9,o7_6,472,481,9
M9,o13_2,744,763,19
M9,o11_4,926,936,10
M9,o20_8,948,955,7
M9,o14_7,985,995,10
M9,o4_5,995,1005,10
M9,o3_8,1413,1420,7
M9,o15_9,1420,1430,10
M9,o16_11,1430,1440,10
M9,o1_10,1440,1450,10
M9,o11_8,1510,1529,19
M9,o4_9,1544,1563,19
M9,o2_12,1644,1654,10
M9,o17_12,1700,1719,19
M9,o3_11,1724,1743,19
M9,o13_10,1794,1801,7
M9,o17_13,1854,1867,13
M10,o12_1,11,24,13
M10,o1_12,24,31,7
M10,o20_1,43,60,17
M10,o20_3,95,106,11
M10,o17_1,106,125,19
M10,o3_1,135,146,11
M10,o2_2,261,270,9
M10,o20_5,463,472,9
M10,o15_4,656,675,19
M10,o3_6,783,788,5
M10,o17_6,853,862,9
M10,o2_6,875,889,14
M10,o7_9,889,896,7
M10,o10_7,908,917,9
M10,o14_8,1044,1061,17
M10,o17_8,1077,1088,11
M10,o1_8,1130,1149,19
M10,o18_11,1219,1233,14
M10,o19_9,1237,1250,13
M10,o17_11,1311,1328,17
M10,o16_9,1353,1367,14
M10,o16_14,1573,1586,13
M10,o2_11,1595,1612,17
M10,o19_12,1683,1694,11
M10,o11_10,1707,1724,17
M10,o15_12,1853,1864,11
